tweet_id,retweet_count,favorite_count
838916489579200512,32,0
838831947270979586,10561,0
838561493054533637,1272,10642
838476387338051585,4553,21803
838201503651401729,9632,0
838150277551247360,319,1616
838085839343206401,1,136
838083903487373313,2992,17127
837820167694528512,7529,33084
837482249356513284,425,3747
837471256429613056,2167,12431
837110210464448512,2269,15584
836989968035819520,2208,12403
836753516572119041,4462,18827
836677758902222849,2138,12289
836648853927522308,531,0
836397794269200385,26420,0
836380477523124226,2876,14384
836260088725786625,4148,20731
836001077879255040,4099,18543
835685285446955009,7819,0
835574547218894849,3467,17325
835536468978302976,1621,0
835309094223372289,20144,0
835297930240217089,2882,16039
835264098648616962,1621,7506
835246439529840640,69,2050
835172783151792128,5547,25481
835152434251116546,2887,21786
834931633769889797,1561,10500
834786237630337024,5329,20893
834574053763584002,2423,13292
834477809192075265,10252,0
834458053273591808,1611,9368
834209720923721728,4567,20010
834167344700198914,3536,15425
834089966724603904,2061,9784
834086379323871233,2124,12722
833863086058651648,2316,13100
833826103416520705,3623,17668
833732339549220864,212,0
833722901757046785,3120,20353
833479644947025920,1968,14505
833124694597443584,4674,19716
832998151111966721,2121,12923
832769181346996225,38,0
832757312314028032,3486,16450
832682457690300417,2816,11576
832645525019123713,514,2859
832636094638288896,2685,15486
832397543355072512,2132,11689
832369877331693569,3081,16751
832273440279240704,2253,11067
832215909146226688,6011,0
832215726631055365,9016,0
832088576586297345,2,61
832040443403784192,9262,0
832032802820481025,4505,17419
831939777352105988,5935,23384
831926988323639298,34,324
831911600680497154,6280,26906
831670449226514432,1755,10179
831650051525054464,1857,6956
831552930092285952,2252,8764
831322785565769729,1497,9070
831315979191906304,1080,6376
831309418084069378,2390,11499
831262627380748289,1977,11622
830956169170665475,1443,7802
830583320585068544,16179,65120
830173239259324417,5489,0
830097400375152640,2835,9537
829878982036299777,4833,0
829861396166877184,1874,11980
829501995190984704,10252,31007
829449946868879360,1944,10226
829141528400556032,7096,23808
829011960981237760,15858,52137
828801551087042563,3306,0
828770345708580865,5667,24992
828708714936930305,10832,35665
828650029636317184,1294,9299
828409743546925057,1121,6212
828408677031882754,1242,7517
828381636999917570,2158,12322
828376505180889089,1037,7230
828372645993398273,2838,12309
828361771580813312,172,2135
828046555563323392,2770,11481
828011680017821696,2092,10126
827933404142436356,5082,19620
827653905312006145,2927,15159
827600520311402496,911,7314
827324948884643840,2939,15501
827199976799354881,2156,10348
826958653328592898,4833,21084
826848821049180160,9845,35420
826615380357632002,3866,0
826598799820865537,241,5019
826598365270007810,2278,9799
826476773533745153,4063,18015
826240494070030336,2533,12991
826204788643753985,891,4775
826115272272650244,3014,15306
825876512159186944,1805,10266
825829644528148480,2427,12494
825535076884762624,17098,55853
825147591692263424,4403,17914
825120256414846976,1210,0
825026590719483904,1210,6136
824796380199809024,5356,0
824775126675836928,3401,14620
824663926340194305,1717,10319
824325613288833024,10299,11585
824297048279236611,3739,14753
824025158776213504,583,4739
823939628516474880,2641,10422
823719002937630720,10854,0
823699002998870016,2450,13700
823581115634085888,2554,12747
823333489516937216,22,686
823322678127919110,3900,15423
823269594223824897,9624,0
822975315408461824,3351,16996
822872901745569793,41982,128950
822859134160621569,2210,12982
822647212903690241,6227,0
822610361945911296,2862,14515
822489057087389700,6227,17786
822462944365645825,13854,27380
822244816520155136,9624,34340
822163064745328640,4610,0
821886076407029760,2243,11104
821813639212650496,3285,0
821765923262631936,1620,8236
821522889702862852,1705,7882
821421320206483457,5417,0
821407182352777218,4204,11517
821153421864615936,10,248
821149554670182400,1906,8456
821107785811234820,2075,9421
821044531881721856,2218,12438
